date,value,summary
03-01 04 AM,41.71,Clear
03-01 05 AM,39.41,Clear
03-01 06 AM,38.79,Clear
03-01 07 AM,38.1,Clear
03-01 08 AM,36.7,Clear
03-01 09 AM,35.87,Clear
03-01 10 AM,37.1,Clear
03-01 11 AM,41.53,Clear
03-01 12 PM,47.67,Clear
03-01 13 PM,52.26,Clear
03-01 14 PM,56.19,Clear
03-01 15 PM,59.85,Clear
03-01 16 PM,63.36,Clear
03-01 17 PM,65.69,Clear
03-01 18 PM,64.95,Clear
03-01 19 PM,63.12,Clear
03-01 20 PM,59.66,Clear
03-01 21 PM,55.09,Clear
03-01 22 PM,52.31,Clear
03-01 23 PM,50.62,Clear
03-02 00 AM,49.13,Clear
03-02 01 AM,47.74,Clear
03-02 02 AM,46.45,Clear
03-02 03 AM,45.26,Clear
03-02 04 AM,44.3,Clear
03-02 05 AM,43.31,Clear
03-02 06 AM,42.23,Clear
03-02 07 AM,41.36,Clear
03-02 08 AM,40.17,Clear
03-02 09 AM,38.8,Clear
03-02 10 AM,40.4,Clear
03-02 11 AM,44.73,Clear
03-02 12 PM,50.3,Clear
03-02 13 PM,54.74,Clear
03-02 14 PM,57.6,Clear
03-02 15 PM,60.38,Clear
03-02 16 PM,63.42,Clear
03-02 17 PM,65.97,Clear
03-02 18 PM,67.39,Clear
03-02 19 PM,66.12,Clear
03-02 20 PM,62.71,Clear
03-02 21 PM,58.1,Clear
03-02 22 PM,54.01,Clear
03-02 23 PM,51.23,Clear
03-03 00 AM,49.35,Clear
03-03 01 AM,47.83,Clear
03-03 02 AM,46.61,Clear
03-03 03 AM,45.74,Partly Cloudy
03-03 04 AM,44.81,Partly Cloudy
